1	a stirring , funny and finally transporting re imagining of beauty and the beast and 1930s horror films
0	apparently reassembled from the cutting room floor of any given daytime soap
0	they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science fiction elements of bug eyed monsters and futuristic women in skimpy clothes
1	this is a visually stunning rumination on love , memory , history and the war between art and commerce
1	jonathan parker 's bartleby should have been the be all end all of the modern office anomie films
1	campanella gets the tone just right funny in the middle of sad in the middle of hopeful
0	a fan film that for the uninitiated plays better on video with the sound turned down
1	b art and berling are both superb , while huppert is magnificent
0	a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium
0	the film is strictly routine
1	a lyrical metaphor for cultural and personal self discovery and a picaresque view of a little remembered world
0	the most repugnant adaptation of a classic text since roland joff and demi moore 's the scarlet letter
0	for something as splendid looking as this particular film , the viewer expects something special but instead gets lrb sci fi rrb rehash
1	this is a stunning film , a one of a kind tour de force
1	may be more genial than ingenious , but it gets the job done
1	there is a freedom to watching stunts that are this crude , this fast paced and this insane
0	if the tuxedo actually were a suit , it would fit chan like a 99 bargain basement special
1	as quiet , patient and tenacious as mr lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline
0	final verdict you 've seen it all before
0	blue crush follows the formula , but throws in too many conflicts to keep the story compelling
0	you get a sense of good intentions derailed by a failure to seek and strike just the right tone
1	a slick , engrossing melodrama
0	a wretched movie that reduces the second world war to one man 's quest to find an old flame
0	will undoubtedly play well in european markets , where mr besson is a brand name , and in asia , where ms shu is an institution , but american audiences will probably find it familiar and insufficiently cathartic
0	lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child 's interest and an adult 's patience
1	the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be
1	the film is moody , oozing , chilling and heart warming all at once a twisting , unpredictable , cat and mouse thriller
0	too bad
1	a strong first act and absolutely , inescapably gorgeous , skyscraper trapeze motion of the amazing spider man
0	gooding offers a desperately ingratiating performance
0	a well intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility
1	a fun ride
1	an edgy thriller that delivers a surprising punch
1	` what 's the russian word for wow !? '
1	otto sallies has a real filmmaker 's eye
0	lurid and less than lucid work
0	with its parade of almost perpetually wasted characters margarita feels like a hazy high that takes too long to shake
0	i could just feel the screenwriter at every moment ` tap , tap , tap , tap , tapping away ' on this screenplay
1	overall , cletis tout is a winning comedy that excites the imagination and tickles the funny bone
1	you live the mood rather than savour the story
1	the movie is so thoughtlessly assembled
1	some body is a shaky , uncertain film that nevertheless touches a few raw nerves
1	it 's a very sincere work , but it would be better as a diary or documentary
0	while american adobo has its heart lrb and its palate rrb in the right place , its brain is a little scattered ditsy , even
1	unfolds with such a wallop of you are there immediacy that when the bullets start to fly , your first instinct is to duck
0	and it 's a lousy one at that
1	it 's not too fast and not too slow
1	it 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space
1	it is as uncompromising as it is nonjudgmental , and makes clear that a prostitute can be as lonely and needy as any of the clients
1	compellingly watchable
0	despite some comic sparks , welcome to collinwood never catches fire
1	though jackson does n't always succeed in integrating the characters in the foreground into the extraordinarily rich landscape , it must be said that he is an imaginative filmmaker who can see the forest for the trees
1	not only does spider man deliver , but i suspect it might deliver again and again
1	it 's worth taking the kids to
0	without shakespeare 's eloquent language , the update is dreary and sluggish
1	dense , exhilarating documentary
0	feels as if lrb there 's rrb a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he wants you to feel something
1	poignant if familiar story of a young person suspended between two cultures
1	methodical , measured , and gently tedious in its comedy , secret ballot is a purposefully reductive movie which may be why it 's so successful at lodging itself in the brain
1	though a touch too arthouse 101 in its poetic symbolism , heaven proves to be a good match of the sensibilities of two directors
1	superbly photographed and staged by mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen
1	a metaphor for a modern day urban china searching for its identity
1	it 's a square , sentimental drama that satisfies , as comfort food often can
1	the wonderfully lush morvern callar is pure punk existentialism , and ms ramsay and her co writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh 's book trainspotting
1	admirers of director abel ferrara may be relieved that his latest feature , r xmas , marks a modest if encouraging return to form
0	not once in the rush to save the day did i become very involved in the proceedings to me , it was just a matter of ` eh '
0	an ugly duckling tale so hideously and clumsily told it feels accidental
0	becomes a bit of a mishmash a tearjerker that does n't and a thriller that wo n't
1	could i have been more geeked when i heard that apollo 13 was going to be released in imax format ?
1	this is a very ambitious project for a fairly inexperienced filmmaker , but good actors , good poetry and good music help sustain it
0	more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine
1	cho 's timing is priceless
1	criminal conspiracies and true romances move so easily across racial and cultural lines in the film that it makes my big fat greek wedding look like an apartheid drama
1	there 's something to be said for a studio produced film that never bothers to hand viewers a suitcase full of easy answers
1	what elevates the movie above the run of the mill singles blender is its surreal sense of humor and technological finish
1	nicholson 's understated performance is wonderful
1	the filmmakers know how to please the eye , but it is not always the prettiest pictures that tell the best story
0	it 's unfortunate that wallace , who wrote gibson 's braveheart as well as the recent pearl harbor , has such an irrepressible passion for sappy situations and dialogue
0	jackson shamefully strolls through this mess with a smug grin , inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder
0	a fascinating curiosity piece fascinating , that is , for about ten minutes
0	over and over again
1	nolan proves that he can cross swords with the best of them and helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure
0	this bond film goes off the beaten path , not necessarily for the better
0	its solemn pretension prevents us from sharing the awe in which it holds itself
0	the drama discloses almost nothing
0	a sham construct based on theory , sleight of hand , and ill wrought hypothesis
1	isabelle huppert excels as the enigmatic mika and anna mouglalis is a stunning new young talent in one of chabrol 's most intense psychological mysteries
1	like its parade of predecessors , this halloween is a gory slash fest
1	perhaps the best sports movie i 've ever seen
0	this pathetic junk is barely an hour long
1	ou 've got to love a disney pic with as little cleavage as this one has , and a heroine as feisty and principled as jane
1	this is a gorgeous film vivid with color , music and life
1	playing a role of almost bergmanesque intensity bisset is both convincing and radiant
0	the trappings of i spy are so familiar you might as well be watching a rerun
1	it treats ana 's journey with honesty that is tragically rare in the depiction of young women in film
1	leigh makes these lives count
1	ambitious , unsettling psychodrama that takes full , chilling advantage of its rough around the edges , low budget constraints
1	the woodman seems to have directly influenced this girl meets girl love story , but even more reassuring is how its makers actually seem to understand what made allen 's romantic comedies so pertinent and enduring
1	i could n't recommend this film more
0	an inexperienced director , mehta has much to learn
0	you can taste it , but there 's no fizz
0	a reworking of die hard and cliffhanger but it 's nowhere near as exciting as either
1	a moving tale of love and destruction in unexpected places , unexamined lives
1	it has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing
0	why ?
0	and that is where ararat went astray
1	vincent gallo is right at home in this french shocker playing his usual bad boy weirdo role
0	clockstoppers is one of those crazy , mixed up films that does n't know what it wants to be when it grows up
0	sandra bullock , despite downplaying her good looks , carries a little too much ai n't she cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff
1	it 's mostly a pleasure to watch
