,texts,labels
0,How did Jayne Mansfield die ?,manner
1,How do windmills work ?,manner
2,How can SQL queries be improved ?,manner
3,How can I find out my Moon sign ?,manner
4,How do you clean an LCD monitor screen ?,manner
5,How can you become an FBI agent ?,manner
6,How do I e-mail someone at aol.com from yahoo.com ?,manner
7,How did Asia get its name ?,manner
8,How do you make a paintball ?,manner
9,How do I change a file from an ART file to a JPEG or Bitmap file ?,manner
10,How can scientists predict weather by observing clouds ?,manner
11,How does a scientific calculator work ?,manner
12,How do I know if I am pregnant ?,manner
13,How does an ion drive work ?,manner
14,How can I find out my biorhythm ?,manner
15,How does a hurricane form ?,manner
16,How do you select wine ?,manner
17,How did the tradition of best man start ?,manner
18,How close a cousin was Franklin D. to Theodore Roosevelt ?,manner
19,How do birds find their way back to the same place every year ?,manner
20,How do you determine heating requirements for your home ?,manner
21,How did the months of the year get there name ?,manner
22,How do I increase my biceps ' size ?,manner
23,How is it correct to say ` qigong ' ?,manner
24,How can a foreigner get a U.S. Social Security card ?,manner
25,How do you get a girl to have sex with you ?,manner
26,How does one correctly pronounce ` qigong ' ?,manner
27,How do you get a pointsettia to turn red ?,manner
28,How can I transport files from one computer to another ?,manner
29,How did Rocky Marciano die ?,manner
30,How did the jack-o '-lantern get it 's name ?,manner
31,How do anti-locking brakes work ?,manner
32,How can I get started in writing for television ?,manner
33,How does the Nintendo `` Zapper '' work ?,manner
34,How do I check if my modem is v.9 compatible ?,manner
35,How can I find online spelling ?,manner
36,How does a small businessman contact the Good Humor Ice Cream company to do business with them ?,manner
37,How do you find the area of a circle ?,manner
38,How is Answers.com different from KnowPost.com ?,manner
39,How do you make a million bucks ?,manner
40,How do you measure the heat of the sun ?,manner
41,How do you get bubblegum out of carpet ?,manner
42,How do chickens have baby chicks ?,manner
43,"How can I find a list of , fax and or email , addresses for human resource departments in Massachusetts ?",manner
44,How is carbon dioxide removed from natural gas ?,manner
45,How do you make dumplings ?,manner
46,How effective are condoms in protecting against AIDS ?,manner
47,How do fuel injectors work ?,manner
48,How do you use an intranet ?,manner
49,How is an executioner determined ?,manner
50,How do I stop background noise in a car stereo ?,manner
51,How is water treated to make it safe to drink ?,manner
52,How did Bob Marley die ?,manner
53,How does color affect a person psychologically ?,manner
54,How do telephones work ?,manner
55,How successful is arometherapy ?,manner
56,How is the element strontium purified ?,manner
57,How do you box train a cat ?,manner
58,How can I find a list of celebrities ' real names ?,manner
59,How do you throw a housewarming party ?,manner
60,How can you tell if someone is lying ?,manner
61,How do ants have sex ?,manner
62,How do they produce vitamins ?,manner
63,How can I get a comic character I made copyrighted and published ?,manner
64,How do you build a solar car for a high school experiment ?,manner
65,How can you prevent it ?,manner
66,How do you send a movie transcript to Hollywood so that it can be produced into a film ?,manner
67,How do you calculate the change in enthalpy of a chemical reaction ?,manner
68,How do you become a dentist ?,manner
69,"How does Cos Cob , CT get its name ?",manner
70,How did Super President gain his powers on the animated series ?,manner
71,How can I get rich quick ?,manner
72,How does food color affect how you think it will taste ?,manner
73,How has TV affected our society ?,manner
74,How do you get rid on woodpeckers ?,manner
75,How can I call a friend in another country when I do not know the telephone number ?,manner
76,How do you write a book report ?,manner
77,How do you handle a hungry man ?,manner
78,How do I find out about jobs ?,manner
79,How does blood clot ?,manner
80,How do I know if I 'm jealous of someone ?,manner
81,How is Abigail Arcane related to the villainous opponent of the Swamp Thing ?,manner
