,texts,labels
0,How do you make a paintball ?,manner
1,How does a small businessman contact the Good Humor Ice Cream company to do business with them ?,manner
2,How can I stop or slow down aging ?,manner
3,How do you tell your parents you are dating an older man ?,manner
4,How does an abacus work ?,manner
5,How do chickens have baby chicks ?,manner
6,How did Super President gain his powers on the animated series ?,manner
7,How is water treated to make it safe to drink ?,manner
8,How is it correct to say ` qigong ' ?,manner
9,How does a rainbow form ?,manner
10,How do wasps make their nests ?,manner
11,How is the element strontium purified ?,manner
12,How is the new Ford Econoline van F25 V1 engine ?,manner
13,How is saline used in medicine ?,manner
14,How do I register a trade name in North Carolina ?,manner
15,How do I know how much money to save for retirement ?,manner
16,How did the war of 1812 affect Delaware ?,manner
17,How does salt melt ice and snow ?,manner
18,"How can I find a list of , fax and or email , addresses for human resource departments in Massachusetts ?",manner
19,How can I get a comic character I made copyrighted and published ?,manner
20,How do you ask questions ?,manner
21,How do you handle a hungry man ?,manner
22,How can you become an FBI agent ?,manner
23,How do you exterminate bees that are in the walls of your home ? Will bee eggs remain over winter ?,manner
24,How do you write a book report ?,manner
25,How can you be happy ?,manner
26,How do I do this ?,manner
27,How can I get a CCT diagram ?,manner
28,How can you tell if someone is lying ?,manner
29,How do I find out what cities are in a certain area code ?,manner
30,How was Teddy Roosevelt related to FDR ?,manner
31,How does a chick breathe inside an egg ?,manner
32,How do you correctly say the word ` qigong ' ?,manner
33,How do I love thee ?,manner
34,How can I find out my biorhythm ?,manner
35,How does a glacier form ?,manner
36,How do birds have sex ?,manner
37,How do I find if my relatives were on the Trail of Tears ?,manner
38,How do I sing like Elvis Presley ?,manner
39,How do doctors diagnose bone cancer ?,manner
40,How do you clean badly tarnished brass ?,manner
41,How does James Bond like his martinis ?,manner
42,How does rabies spread ?,manner
43,How can I determine the radius of an ellipse ?,manner
44,How do I know if I 'm jealous of someone ?,manner
45,How does lightning travel ?,manner
46,How do I change a file from an ART file to a JPEG or Bitmap file ?,manner
47,How do I find the balance of my social security account ?,manner
48,"How can people from Ireland come to the U.S. , work , and then return to Ireland ?",manner
49,How effective are condoms in protecting against AIDS ?,manner
50,How do I find a web address for a company ?,manner
51,How do you make dumplings ?,manner
52,How do vending machines tell if your dollar is a 1 or a 5 ?,manner
53,How does a submarine operate ?,manner
54,How does marl form and what mineral does it contain ?,manner
55,How do you get a girl to have sex with you ?,manner
56,How is an executioner determined ?,manner
57,How is plastic made ?,manner
58,How did the bikini bathing suite get its name ?,manner
59,How do they type Chinese characters on a keyboard ?,manner
60,How do I get a complete list of all the people that are living with the last name Kilvington ?,manner
61,How is bubble wrap made ?,manner
62,How did people respond to the idea of the first millenium ?,manner
63,How do you pronounce `` Tzimisce '' ?,manner
64,How did the tradition of best man start ?,manner
65,How did Edith Bunker die ?,manner
66,How do you fix squeaky floors ?,manner
67,How do you stop junk snail mail ?,manner
68,How do anti-locking brakes work ?,manner
69,How do I get another city 's newspaper ?,manner
70,How do you get to the top of the Eiffel Tower ?,manner
71,How do you make panoramic sugar eggs for Easter - the ones with the scene inside ?,manner
72,How do I stop background noise in a car stereo ?,manner
73,How do you find out what is allowed to claim as a contibution for income tax purposes ?,manner
74,How do you identify prime numbers ?,manner
75,How do you recognize anorexia ?,manner
76,How can I find online spelling ?,manner
77,How does a parachute work ?,manner
78,How is Easter Sunday 's date determined ?,manner
79,How do I increase my biceps ' size ?,manner
80,How can you get rust stains out of clothing ?,manner
81,How is a hydrogen bomb different from a nuclear bomb ?,manner
82,How do you get dates with the `` Hooters '' girls ?,manner
83,How does the car in `` Christine '' become possessed ?,manner
84,How does an ion drive work ?,manner
85,How do I start a web based business ?,manner
86,How do you determine heating requirements for your home ?,manner
87,How was the ACLU formed ?,manner
88,How do you make the color purple ?,manner
89,How is Abigail Arcane related to the villainous opponent of the Swamp Thing ?,manner
90,How does blood clot ?,manner
91,How do you clean up a cache ?,manner
92,How do you calculate the change in enthalpy of a chemical reaction ?,manner
93,How would I find the price of different organs that have been donated ?,manner
94,How can I find a phone number of someone if I only know their email address ?,manner
95,How does Zatanna perform her magic in DC comics ?,manner
96,How did Bob Marley die ?,manner
97,How is the election of a new Pope announced to the world ?,manner
98,How do ants have sex ?,manner
99,How do hermit crabs reproduce ?,manner
100,"How can I find online spelling , and punctuation drills for my 6th grader ?",manner
101,How can I transport files from one computer to another ?,manner
102,How do I start a bank ?,manner
103,How do you find the area of a circle ?,manner
104,How do you determine if a computer monitor has an SVGA adapter ?,manner
105,How do you look up criminal records on the Internet ?,manner
106,How can I find a list of celebrities ' real names ?,manner
107,How do cameras take pictures ?,manner
108,How do you write MLA style bibliographies for an Internet source ?,manner
109,How does General Mills manufacture Cheerios ?,manner
110,How do they produce vitamins ?,manner
111,How do I know someone is truly in love with me ?,manner
112,How do you use an intranet ?,manner
113,How is ` qigong ' properly pronounced ?,manner
114,How does hair curl ?,manner
115,How do you ask a total stranger out on a date ?,manner
116,How do you box train a cat ?,manner
117,How do I tie a tie ?,manner
118,How do you convert foot-pounds to foot-inches ?,manner
119,How can I get someone 's email address ?,manner
120,How do I tie dye clothes ?,manner
121,How can anyone tell if a female had sexual intercourse ?,manner
122,What do I have to do to get good grades in school ?,manner
123,How do you match a name to a social security number ?,manner
124,How did the 7th inning stretch get started ?,manner
125,How do they find or choose witnesses to an execution ?,manner
126,How did shipyard inspector James J. Kilroy designate equipment as being satisfactory ?,manner
127,How do I impress a guy ?,manner
128,How does a hydroelectric dam work ?,manner
129,How do I check if my modem is v.9 compatible ?,manner
130,How you can raise your IQ ?,manner
131,How do windmills work ?,manner
132,How do I write to my Congressman ?,manner
133,How did serfdom develop in and then leave Russia ?,manner
134,"How does Cos Cob , CT get its name ?",manner
135,How can I get my product licensed by the NBA ?,manner
136,How did the jack-o '-lantern get it 's name ?,manner
137,"In My Antonia , how is Mr. Shimerda out of place on the farm ?",manner
138,How did U.S.A become involved in the Barbary Wars,manner
139,How successful is arometherapy ?,manner
140,How does food color affect how you think it will taste ?,manner
141,How did Lee Harvey Oswald purchase his rifle ?,manner
142,How does crosstalk relate to InSb thickness in infrared detectors ?,manner
143,How do they find an epicenter ?,manner
144,How do I contact Answers.com direct ?,manner
145,How do websites like Yahoo and Excite make money ?,manner
146,How can I get in touch with Michael Moore of `` Roger & Me '' ?,manner
147,How do I install a tile floor ?,manner
148,How do you throw a housewarming party ?,manner
149,How does psorisis disappear ?,manner
150,How does the chain of command work inside an US army Apache helicopter ?,manner
151,How is silk screening done ?,manner
152,How do I find a snowboarding website ?,manner
153,How can SQL queries be improved ?,manner
154,How is Answers.com funded ?,manner
155,How is digital audio used ?,manner
156,How can I gain access to a spy satelite ?,manner
157,How do you make a million bucks ?,manner
158,How do you get bubblegum out of carpet ?,manner
159,How do you get silly putty out of fabric ?,manner
160,How is carbon dioxide removed from natural gas ?,manner
161,How do boats float ?,manner
162,How does the speed the magnet spins in a generator affect the output of the generator ?,manner
163,How was Lawrence,manner
164,How can you contact play producers and promoters on-line ?,manner
165,How do companies cut paper so thin ?,manner
166,How would someone go about becoming an organ donor ?,manner
167,How can you tell when figs are ripe ?,manner
168,How do you solve `` Rubik 's Cube '' ?,manner
169,How did water appear on the earth ?,manner
170,How were the days of the week named ?,manner
171,How do storms form ?,manner
172,How is the element strontium purified ?,manner
173,How do you clean an LCD monitor screen ?,manner
174,How do you become a dentist ?,manner
175,How can someone become a federal agent ?,manner
176,How can scientists predict weather by observing clouds ?,manner
177,How can I get started in writing for television ?,manner
