,texts,labels
0,"After her second solo album, what other entertainment venture did Beyonce explore?",other
1,What town did Beyonce go to school in?,city
2,Who decided to place Beyonce's group in Star Search the talent show?,ind
3,"""Charlie's Angels"" featured which single from the band members?",cremat
4,Destiny's Child's final album was named what?,cremat
5,Beyonce got married in 2008 to whom?,ind
6,"Beyonce portrayed which character in the film, Cadillac Records?",ind
7,Beyonce would take a break from music in which year?,date
8,Beyonce's fourth album debuted in what year?,date
9,Jay Z has a website called what?,other
10,Beyonce and Jay-Z went to a rally for the acquittal of whom?,ind
11,Beyonce signed a letter with who in 2015?,ind
12,Beyonce along with Jay Z met with whom's family after their death?,ind
13,Beyonce's range in singing is how many octaves?,count
14,Beyonce does not create which aspect of her music?,other
15,Pop Songwriter of the Year award in 2001 was awarded to whom?,ind
16,To whom did Beyonce credit as her major influence on her music?,ind
17,"Beyonce has noted which first lady with saying ""She proves you can do it all""?",ind
18,"in September 2010, what career area did Beyonce start exploring?",other
19,Which parent of Beyonce's help co-write a book?,ind
20,Which racial community gave criticism to Beyonce?,gr
21,Which rock band cited Beyonce on their third album?,gr
22,"VH1 declared what song the ""Greatest song of the 2000s?""",cremat
23,Which soda company has Beyonce partnered with since 2002?,gr
24,"Beyonce worked with who on her perfumes, True Star and True Star Gold?",ind
25,Who did Bayonce's management go into business with in 2014?,ind
26,"When was it discovered Beyonce was a co-owner of the music service, Tidal?",date
27,"Beyonce, during October 2014, partnered with whom to produce an outdoor line of clothing?",ind
28,Who did Beyonce participate with in the Hope for Haiti Now: A Global Benefit?,ind
29,Which artist did Beyonce marry?,ind
30,Time magazine named her one of the most 100 what people of the century?,ind
31,Where did Beyonce get her name from?,other
32,"In 1995, who decided to manage the girls singing group?",ind
33,"For which song, did Destiny's Child take home the grammy award for best R&B performance?",cremat
34,What event occured after she was publicly criticized?,event
35,"Which three countries did Beyonce's song ""Work It Out"" achieve top ten status?",country
36,Beyonce's first album by herself was called what?,cremat
37,The lead single from the album was which song?,cremat
38,Beyonce gave her entire salary from Cadillac Records to which organization?,gr
39,Beyonce tied with which artist for most nominations by a female artist?,ind
40,Who did Beyonce donate the money to earned from her shows?,ind
41,Which single had the most success from that album?,cremat
42,Beyonce's documentary movie was called what?,cremat
43,Which artist beat Beyonce out for Album of the year?,ind
44,Beyonce sang which song during the 2009 presidential inauguration?,cremat
45,An important UN summit took place when?,date
46,who talked about Beyonce's tone and timbre as distinctive?,ind
47,Which month and year did Beyonce credit Madonna for inspiring her to take control of her career?,date
48,Her alter ego was born when according to Beyonce?,ind
49,"Which music journalist described Beyonce as a ""crossover sex symbol?""",ind
50,Beyonce's first modelling event was at where?,other
51,Which African-American woman before Beyonce had posed for SI Swimsuit issue?,ind
52,Which French magazine did Beyonce show up on the cover of?,cremat
53,Which professor from Northeastern University wrote about how race correlates with these criticisms of Beyonce?,ind
54,"Which friend learned from Beyonce while preparing for the film, ""Country Strong?""",ind
55,Pepsi paid Beyonce how much in 2012 for her endorsement?,money
56,The world's best selling celebrity perfume line belongs to whom?,ind
57,Beyonce's grandma's name was?,ind
