,texts,labels
0,What town did Beyonce go to school in?,city
1,Who decided to place Beyonce's group in Star Search the talent show?,ind
2,"""Charlie's Angels"" featured which single from the band members?",cremat
3,Destiny's Child's final album was named what?,cremat
4,Beyonce got married in 2008 to whom?,ind
5,"Beyonce portrayed which character in the film, Cadillac Records?",ind
6,Beyonce would take a break from music in which year?,date
7,Beyonce's fourth album debuted in what year?,date
8,Jay Z has a website called what?,other
9,Beyonce and Jay-Z went to a rally for the acquittal of whom?,ind
10,Beyonce signed a letter with who in 2015?,ind
11,Beyonce along with Jay Z met with whom's family after their death?,ind
12,Beyonce's range in singing is how many octaves?,count
13,Beyonce does not create which aspect of her music?,other
14,Pop Songwriter of the Year award in 2001 was awarded to whom?,ind
15,To whom did Beyonce credit as her major influence on her music?,ind
16,"Beyonce has noted which first lady with saying ""She proves you can do it all""?",ind
17,"in September 2010, what career area did Beyonce start exploring?",other
18,Which parent of Beyonce's help co-write a book?,ind
19,Which racial community gave criticism to Beyonce?,gr
20,Which rock band cited Beyonce on their third album?,gr
21,"VH1 declared what song the ""Greatest song of the 2000s?""",cremat
22,Which soda company has Beyonce partnered with since 2002?,gr
23,"Beyonce worked with who on her perfumes, True Star and True Star Gold?",ind
24,Who did Bayonce's management go into business with in 2014?,ind
25,"When was it discovered Beyonce was a co-owner of the music service, Tidal?",date
26,"Beyonce, during October 2014, partnered with whom to produce an outdoor line of clothing?",ind
27,Who did Beyonce participate with in the Hope for Haiti Now: A Global Benefit?,ind
28,Which artist did Beyonce marry?,ind
29,Time magazine named her one of the most 100 what people of the century?,ind
30,Where did Beyonce get her name from?,other
31,"In 1995, who decided to manage the girls singing group?",ind
32,"For which song, did Destiny's Child take home the grammy award for best R&B performance?",cremat
33,What event occured after she was publicly criticized?,event
34,"Which three countries did Beyonce's song ""Work It Out"" achieve top ten status?",country
35,Beyonce's first album by herself was called what?,cremat
36,The lead single from the album was which song?,cremat
37,Beyonce gave her entire salary from Cadillac Records to which organization?,gr
38,Beyonce tied with which artist for most nominations by a female artist?,ind
39,Who did Beyonce donate the money to earned from her shows?,ind
40,Which single had the most success from that album?,cremat
41,Beyonce's documentary movie was called what?,cremat
42,Which artist beat Beyonce out for Album of the year?,ind
43,Beyonce sang which song during the 2009 presidential inauguration?,cremat
44,An important UN summit took place when?,date
45,who talked about Beyonce's tone and timbre as distinctive?,ind
46,Which month and year did Beyonce credit Madonna for inspiring her to take control of her career?,date
47,Her alter ego was born when according to Beyonce?,ind
48,"Which music journalist described Beyonce as a ""crossover sex symbol?""",ind
49,Beyonce's first modelling event was at where?,other
50,Which African-American woman before Beyonce had posed for SI Swimsuit issue?,ind
