,texts,labels
0,Beyonce's younger sibling also sang with her in what band?,gr
1,"""Charlie's Angels"" featured which single from the band members?",cremat
2,Beyonce got married in 2008 to whom?,ind
3,"Beyonce released the song ""Formation"" on which online music service?",gr
4,Jay Z has a website called what?,other
5,Beyonce did an interview with which magazine and was asked about feminism?,cremat
6,Beyonce along with Jay Z met with whom's family after their death?,ind
7,Beyonce's range in singing is how many octaves?,count
8,Beyonce does not create which aspect of her music?,other
9,Pop Songwriter of the Year award in 2001 was awarded to whom?,ind
10,To whom did Beyonce credit as her major influence on her music?,ind
11,What themes were influenced by her acting role in Dreamgirls?,desc
12,"Beyonce has noted which first lady with saying ""She proves you can do it all""?",ind
13,Beyonce had an all-female tour band whose name was what?,gr
14,Beyonce self proclaimed alter ego is named what?,ind
15,Which parent of Beyonce's help co-write a book?,ind
16,Which rock band cited Beyonce on their third album?,gr
17,"Beyonce worked with who on her perfumes, True Star and True Star Gold?",ind
18,How young was Beyonce when she acquired deals from American Express and L'Oreal?,period
19,Who did Bayonce's management go into business with in 2014?,ind
20,"Beyonce, during October 2014, partnered with whom to produce an outdoor line of clothing?",ind
21,What national disaster caused Beyonce to create the Survivor Foundation?,event
22,"Which national event caused Beyonce to produce ""Demand a Plan?""",event
23,Time magazine named her one of the most 100 what people of the century?,ind
24,Where did Beyonce get her name from?,other
25,"For which song, did Destiny's Child take home the grammy award for best R&B performance?",cremat
26,Beyonce's first album by herself was called what?,cremat
27,The lead single from the album was which song?,cremat
28,"Her third album, ""I am...Sasha Fierce"" was released when?",date
29,Beyonce tied with which artist for most nominations by a female artist?,ind
30,Which single had the most success from that album?,cremat
31,Beyonce's documentary movie was called what?,cremat
32,Beyonce's new single released before the super bowl was called what?,cremat
33,Beyonce confirmed what after performing one of her songs?,desc
34,An important UN summit took place when?,date
35,who talked about Beyonce's tone and timbre as distinctive?,ind
36,Beyonce had singers in the background known by the name as?,ind
37,Her alter ego was born when according to Beyonce?,ind
38,Which French magazine did Beyonce show up on the cover of?,cremat
39,Whats the first year that Beyonce appear on the Time 100 list?,date
40,"Which friend learned from Beyonce while preparing for the film, ""Country Strong?""",ind
41,The world's best selling celebrity perfume line belongs to whom?,ind
42,Beyonce's grandma's name was?,ind
43,Beyonce and Topshops first products were to be sold in stores when?,date
44,"How much cash did Beyonce put into the venture, the Survivor Foundation at startup?",money
45,Which magazine declared her the most dominant woman musician?,cremat
46,What race was Beyonce's father?,sport
47,Beyonce moved to which town after she left her first elementary school?,city
48,Who was the first record label to give the girls a record deal?,gr
49,"For which decade, did Beyonce have more top ten songs than any other woman?",date
50,"In 2010, Beyonce worked with which other famous singer?",ind
51,Beyonce became the first female artist to perform solo in 20 years at which stage?,other
52,Beyonce's first child is named what?,ind
53,What did Beyonce sign in 2013?,other
54,"Beyonce wrote which song for the movie ""Epic""?",cremat
55,Which magazine did Beyonce pose on the cover for in August of 2015?,cremat
56,How much did Beyonce raise for Obama at the 40/40 Club?,money
57,The letter Beyonce signed focused on what issue?,desc
58,What theme was Beyonce's early music?,desc
59,Beyonce has the same number of writing credits on number one singles as whom?,ind
60,Beyonce gave a tribute award to who in 2006?,ind
61,Who motivated Beyonce to explore other areas of music?,ind
62,"Beyonce has said that who embodies the ""definition of inspiration and a strong woman""?",ind
63,The Mamas members included which 3 musicians?,ind
64,Which word spawned from a term used to describe Beyonce in 2006?,word
65,Beyonce was seen wearing what on the french magazine that caused controversy?,other
66,What type of clothing does Parkwood Topshop Athletic Ltd produce?,product
67,Beyonce's family's company name is what?,gr
68,What hurricane years later after Katrina did the organization provide support for?,event
69,In which decade did the Recording Industry Association of America recognize Beyonce as the The Top Certified Artist?,date
70,What event caused Beyonce's depression?,reason
71,"Their third album, Survivor, sold how many during its first week?",count
72,Beyonce's first world tour was when?,date
73,"What genre of film was the movie, Obsessed, in which Beyonce starred in?",cremat
74,Beyonce voiced a character in which animated film?,cremat
75,Beyonce would perform with who at Superbowl 50?,ind
76,At what hospital was the baby delivered?,other
77,"What did she endorse on March 26, 2013?",other
78,What had to be set in developing funding?,other
79,How much bail money did they spend?,money
80,"Up until May of 2015, how much is Beyonce's total worth?",money
81,Spanish songs Beyonce released were for what?,reason
82,Beyonce cites Mariah Carey to making her want to start doing what?,reason
83,The Mamas first appearance was when?,date
84,Beyonce brought back Sasha Fierce during which event?,event
85,Bootylicious was a song from which act that Beyonce performed with?,cremat
86,What is Beyonce's fan base called?,gr
87,What did Vogue request?,other
88,What did the Guardian name her?,ind
89,What influenced Nicki Minaj to join the Pepsi global campaign?,reason
90,What type of organism was named after Beyonce in 2012?,animal
91,Beyonce holds the record for how many wins in one night by a female?,count
92,The company and products were set to be in stores when?,date
93,What types of garments are sold by Beyonce's clothing line?,product
94,What did Beyonce's Fashion Diva  feature?,other
95,In which decade did Beyonce become famous?,date
96,What magazine rated Beyonce as the most powerful female musician in 2015?,cremat
97,I which church was Beyonce  a member and soloist  in the choir?,other
98,It was announced that Destiny's Child would  disban in what European city?,city
99,"In 2009, Beyonce started her second world tour and grossed how much money?",money
100,Beyonce tied who for most number one singles by a female?,ind
101,Who inspired this hiatus?,ind
102,What was the title of the added track in Love Songs?,cremat
103,What did they attend in July 2013?,other
104,Beyonce was coached for her Spanish songs by which American?,ind
105,How does she describe Sasha?,manner
106,Oxford Dictionary added which word from the 2000s dedicated to Beyonce?,word
107,Which band listed Beyonce as an inspiration on their latest album?,gr
108,A place for Beyonce in the Rock and Roll Hall of fame was awarded when?,date
109,What is a criticism of other streaming services?,desc
110,How much did Beyonce initially contribute to the foundation?,money
111,"Beyonce was speaking about whom when she said her gift was ""finding the best qualities in every human being.""?",ind
112,Beyonce's mother worked in what industry?,gr
113,What type of school was Parker Elementary School?,gr
114,What album caused a lawsuit to be filed in 2001?,cremat
115,Beyonce's first solo album in the U.S. with what artist in the lead single?,ind
116,What was the child's name?,ind
117,At whose inauguration did she perform the National Anthem?,ind
118,Beyonce lost to which artist for Album of the year?,ind
119,Together how records have they sold ?,manner
120,To whom was the letter addressed?,ind
121,In 2012 who placed Beyonce at 16 in the Celebrity List?,ind
122,What part of production does she do?,other
123,How does she describe Jean- Michel Basquiat?,manner
124,How does Alice Jones describe her?,manner
125,"Beyoncé was the second African American woman featured as a swimsuit cover on the magazine, who was first?",ind
126,Which of Beyonce's songs was called Greatest Song of the 2000s?,cremat
127,"What charity benefited from  the release of the song, God Bless the USA?",gr
128,In which years did Time rate Beyonce in the 100 most influential people in the world?,date
129,What was the name of Beyoncé's European start that started in November 2003?,event
130,What did Beyonce call her first concert tour?,event
131,What part did she voice for the movie Epic?,ind
132,"What was the most searched term in week of Aug 29, 2011?",other
133,Beyoncé's early recordings empowered who?,ind
134,What is the name of Beyoncé's alter ego?,ind
135,"What magazine said Beyoncé was the ""best-dressed celebrity""?",cremat
136,What did she agree to do for 50 million dollars in 2012?,desc
137,What was the focus of the Gucci Chime for Change campaign?,other
138,Beyonce is a descendent of what Arcadian leader?,ind
139,At what age did Beyonce meet LaTavia Robertson?,period
140,"What genre of movie did Beyonce star in with Cuba Gooding, Jr?",cremat
141,What did Beyoncé announce in January 2010?,desc
142,Who did she tell about the donation?,ind
143,"Beyoncé used words from which Nigerian author in her song, Flawless?",ind
144,What do other critics claim?,desc
145,How does she describe Jay Z?,manner
146,"What word does ""Bey Hive"" derive from?",word
147,Which Indie band said Beyoncé was an inspiration for one of hteir albums?,gr
148,Who did Beyoncé and Parkwood Entertainment partner with in October 2014?,ind
149,Who acquired the parent company of the music service Beyoncé owns part of?,ind
150,Who was the business named for in Beyonce's family?,gr
151,What was the name of the game put out by Starwave Mobile in 2008 that featured Beyoncé fashions?,sport
152,What type of clothing does the British partnership with Beyoncé sell?,product
153,Where did Destiny's Child get their name from?,other
154,"""The Closer I get to You"" was recorded with which artist?",ind
155,How much more that the buget did the film gross?,count
156,Who did they tie with for six top songs?,ind
157,On what magazine was she the cover model?,cremat
158,What did Beyoncé and Jay Z name their daughter?,ind
159,What social media platform did Beyoncé upload a picture of her paper ballot on?,other
160,What is Beyonce's net worth in 2015?,money
161,"Because of Beyoncé's physical shape, what slang term has been used to describe her?",termeq
162,VH1 listed her at what number on their 100 Sexiest Artists list?,other
163,What advertisement was Beyoncé's skin supposedly lightened in?,cremat
164,Which publication named Beyoncé the Artist of the Decade?,cremat
165,Who tied her record for most Grammies won in one night in 2012?,ind
166,What music service is accused of providing low royalty amounts?,gr
167,What other hurricane did Beyoncé's foundation help with?,event
168,What role did Beyoncé have in Destiny's Child?,ind
169,Which newest member was removed from Destiny's Child?,ind
170,Which artist was associated with Beyoncé's premiere solo recording?,ind
171,Who did Beyonce tie with for the most nominations in a year?,ind
172,What did Beyoncé name her daughter?,ind
173,Who would she perform with at Superbowl 50?,ind
174,"Who began reporting Beyoncé's annual earnings, starting in 2008?",ind
175,"Who does she credit for the inspiration to ""get up there and do what she did""?",ind
