,texts,labels
0,"Who did Beyonce star with in the movie, ""Austin Powers in Goldmember""?",ind
1,What movie did Beyonce act in 2006?,cremat
2,How many awards was Beyonce nominated for at the 52nd Grammy Awards?,count
3,When did Beyonce have her first child?,date
4,Where did Beyonce release her 5th album to a huge surprise?,other
5,How many awards did Beyonce take home with her at the 57th Grammy Awards?,count
6,How many copies of her albums as Beyonce sold in the US?,count
7,How many Grammys has Beyonce won total with and without Destiny's Child?,count
8,"How many weeks did their single ""Independent Women Part I"" stay on top?",count
9,Where did Beyonce give birth to her first child?,other
10,Where did Beyonce become pregnant?,other
11,"How many Grammy awards did ""Crazy in Love"" win?",count
12,When did Beyonce leave Destiny's Child and become a solo singer?,date
13,"How many has ""Dangerously in Love"" sould worldwide since its debut?",count
14,Where was the album released? ,other
15,How many people watched the 2011 MTV Music Awards?,count
16,Where was Beyonce quoted as saying that she is a modern-day feminist?,other
17,How many certifications was Beyonce awarded by the RIAA?,count
18,When did Beyonce begin her deals with name brands?,date
19,For what movie did Beyonce receive  her first Golden Globe nomination?,cremat
20,Beyonce's childhood home believed in what religion?,religion
21,How many singles did her second album produce?,count
22,"How many number one singles did Beyonce now have after the song ""Telephone""?",count
23,"When did Destiny's Child release its album ""Love Songs""?",date
24,Who joined Beyonce on her On The Run Tour?,ind
25,Where did she announce her pregnancy?,other
26,What percentage of people were positive about Beyonce's endorsement of Pepsi?,perc
27,How many people lost jobs when Beyonce left the video game deal?,count
28,When did Beyonce take a hiatus in her career and take control of her management?,date
29,How many top five singles came from her first album?,count
30,When did Beyonce have her first child?,date
31,When were Beyonce and Jay Z married?,date
32,How many octaves does Beyonce have?,count
33,How many awards at the Broadcast Film Critics Association Awards in 2006 did Beyonce bring home?,count
34,When did Beyonce begin doing Pepsi advetisments?,date
35,What large record company recorded Beyonce's group's first album?,gr
36,What film did Beyonce appear in with Mike Myers?,cremat
37,When did Destiny's Child get their star on the Hollywood Walk of Fame?,date
38,What does B.I.C. stand for?,exp
39,Where did she perform wearing Baker's hula skirt?,other
40,How many albums has Beyonce as a solo artist sold in the U.S?,count
41,How many Grammies has Beyonce won?,count
42,When did Beyonce partner with C&A to sell fashion in Brazil?,date
43,What company did Beyoncé contract with to sell clothing in England?,gr
44,What record company first signed Beyonce's group and later cut them?,gr
45,Who replaced Luckett and Roberson in Destiny's Child?,ind
46,When did Beyonce begin her second world tour?,date
47,How many Tweets per minute did the half time show get?,count
48,When did Beyoncé release Formation?,date
49,Where did Suga Mama band make their first appearance?,other
50,How many Grammy awards did Crazy in Love get?,count
51,How many Grammy nominations does Beyonce have?,count
52,What is the name of Beyoncé's management company?,gr
53,When did Beyonce and her mother start Dereon?,date
54,Who managed the Destiny's Child group?,ind
55,When did Destiny's Child end their group act?,date
56,How many records has Beyonce sold in her 19 year career?,count
57,"What singer did Beyonce record a song with for the movie, ''The Best Man""?",ind
58,Which film did Beyoncé star in 2001 with Mekhi Phifer?,cremat
59,When did she perform at the Roseland ballroom?,date
60,How many nights did she perform at Atlantic City?,count
61,When did Destiny's Child release Love Songs?,date
62,How many digital copies of her fifth album did Beyoncé sell in six days?,count
63,"Where did Beyoncé exclusively release her single, Formation?",other
64,Where was Beyonce when she became pregnant?,other
65,When did Beyoncé give birth to her daughter?,date
66,When did she appear on the cover of GQ?,date
67,How many records has she sold with Destiny's Child?,count
68,When did Beyoncé rise to fame?,date
69,How many records did Beyoncé sell as part of Destiny's Child?,count
70,Which film did Beyoncé star with Steve Martin in?,cremat
71,Where did Beyonce perform in 2011?,other
72,When did Beyoncé give birth to a daughter?,date
73,Where did Beyoncé announce her pregnancy?,other
74,How many octaves does Beyoncé's voice span?,count
75,How many editions of Heat have been launched?,count
76,How many people lost their jobs over Beyoncé backing out of the deal?,count
77,Where is Topshop located?,other
78,Where were items from the clothing line displayed?,other
79,When did Beyoncé get married?,date
80,How many dates did the Mrs. Carter Show World Tour have?,count
81,When were Beyoncé and Jay Z married?,date
82,Why is Beyoncé known as the centerpiece of Destiny's Child?,reason
83,How many Grammys has Beyoncé won?,count
84,How many Grammy awards has Beyoncé won?,count
85,When did Destiny's Child announce their hiatus?,date
86,What film did Beyoncé star in with Mike Myers in 2002?,cremat
87,How many nominations did Beyoncé receive at the 52nd Grammy Awards ceremony?,count
88,How many copies of 4 sold in the first week?,count
89,Where was Blue Ivy born?,other
90,How many records combined have Beyoncé and Jay Z sold?,count
91,How many people watched the 2011 MTV Video Music Awards?,count
92,"Who sang ""Girls Love Beyoncé"" in 2013?",ind
93,How many records has Beyoncé sold in the United States?,count
94,How many Grammy nominations has Beyoncé had?,count
95,When did Beyoncé release Dangerously in Love?,date
96,When did Beyoncé begin to manage the girl group?,date
97,When did Destiny's Child release their second album?,date
98,"Where did Beyoncé perform on January 20, 2009?",other
99,Where was Beyoncé's first public performance after giving birth?,other
100,How many awards was Beyoncé nominated for at the 57th annual Grammys?,count
101,Who coached Beyoncé for her Spanish recordings?,ind
102,When did The Mamas make their debut?,date
103,How many records has Beyoncé sold throughout the world?,count
104,How many Grammy awards did Beyoncé win for her first solo album?,count
105,Where did Beyoncé perform for four nights of standing room only concerts in 2011?,other
106,How many nights did Beyoncé play at the resort?,count
107,How many awards did Beyoncé win at the 57th Annual Grammys?,count
108,Where did Beyoncé get pregnant?,other
109,When did Jay Z and Beyoncé become the first music couple worth over a billion dollars?,date
110,What movie had Beyoncé nominated as Best Actress for Golden Globe Awards?,cremat
111,How many editions of Heat exist?,count
112,How many awards did Beyoncé win at the 46th Grammy's Awards?,count
113,How many certifications did RIAA give Beyoncé?,count
114,Who was Frédéric's first professional teacher in music?,ind
115,How many doctors saw Frédéric by the 3rd of December?,count
116,Where did Chopin head to during the Revolution of 1848?,other
117,Where did Chopin stay while in London?,other
118,Where did Jane Stirling invite Chopin?,other
119,When did Chopin last appear in public?,date
120,When did his sister come to stay with Chopin?,date
121,Why did Chopin request being cut open after his death?,reason
122,Where was Chopin's funeral held?,other
123,How many of Chopin's works still exist?,count
124,How many polonaises were published while Chopin lived?,count
125,How many nocturnes did Chopin compose?,count
126,"How many movements are No. 2, Op. 35 and No. 3, Op 58 in?",count
127,How many public performances was Frédéric estimated to have given during the remainder of his life?,count
128,Who was the principal of the Polish Literary Society that Frédéric became acquainted with?,ind
129,Who was Frédéric's trusted adviser while in Paris?,ind
130,Where was the first fictionalized account of Chopin's life created?,other
131,What company provided Chopin with a piano while in London?,gr
132,Where was Chopin's last public performance?,other
133,In 1849 where did Chopin live?,other
134,In September 1849 where did Chopin take up residence?,other
135,Who was the organist at Chopin's funeral?,ind
136,How many polonaises were published after Chopin died?,count
137,Who was Chopin's musical executor?,ind
138,Where did Frédéric live with his family while they were in Warsaw?,other
139,How many piano concerts did Frédéric perform in Vienna during this time?,count
140,Who was the director of the Academy of Art that Frédéric met while in Düsseldorf?,ind
141,How many times did Frédéric and Liszt collaborate in performances during the years of 1833 to 1841?,count
142,How many pieces did Chopin write in 1841?,count
143,When did Chopin last perform?,date
144,Where is the International Chopin Piano Competition held?,other
145,Where did Chopin go in the spring of 1848?,other
146,Where was Chopin's initial performance?,other
147,Where was Chopin invited to in late summer?,other
148,How many people arrived for Chopin's funeral?,count
149,How much did Chopin's funeral cost?,money
150,How many Chopin pieces are known to have survived?,count
151,How many unfinished pieces did Julian Fontana make into eight more opus numbers?,count
152,"How many movements are in No. 2, Op. 35 and No. 3, Op 58?",count
153,"Who wrote about Chopin's ""novel harmonic effects""?",ind
154,Who was Alexander Scriabin's teacher?,ind
155,Where were Poles scattered to?,other
156,How many of Chopin's Polish songs did Liszt transliterate for piano?,count
157,Who was a student of Chopin's former students and actually recorded some Chopin music?,ind
158,Where were Frédéric's parents located at when he saw them for the final time in 1835?,other
159,How many doctors visited Chopin?,count
160,Where was Sand's estate located where they stayed for the summers until 1846?,other
161,How many pieces did Chopin compose in 1842?,count
162,When did Chopin return to Paris?,date
163,Why did Chopin want his body opened when he died?,reason
164,Where was Chopin's funeral held?,other
165,What is different about Chopin's waltzes versus a ballroom waltz?,desc
166,Where did Chopin's work start t oshow up?,other
167,Why did Schumann say the Poles were in mourning?,reason
168,Where did Chopin create the majority of his compositions?,other
169,When did Chopin visit Berlin?,date
170,Where did Chopin meet Felix Mendelssohn?,other
171,Where did Frédéric and Sand venture to after Majorca became unlivable when it was discovered they were not married?,other
172,Where did Frédéric and Sand move to in 1842 in buildings next to each other?,other
173,When did Pabst record his Chopin performance?,date
174,Where was Chopin's last public performance?,other
175,Who was Chopin's physician?,ind
176,Where did he end up living when he was 21?,other
177,Where was Chopin born?,other
178,When did Chopin's family move to Warsaw?,date
179,Who was Chopin's initial piano teacher?,ind
180,When did Chopin receive his last Conservatory report?,date
181,Where did Chopin debut after completing his studies?,other
182,When did Chopin debut at Salle Pleyel ?,date
183,Where was Chopin's first concert in Paris held?,other
184,How many works did Chopin write in 1842?,count
185,Where did his friends found Chopin an apartment in 1849?,other
186,How many people arrived without an invitation?,count
187,Who was the organist for Chopin's funeral?,ind
188,Who compiled the Kobylańska Catalogue?,ind
189,Who was Alexander Scriabin's teacher?,ind
190,How many public shows did he perform during the last years of his life?,count
191,Where did Chopin's father get a teaching position?,other
192,Where did Chopin intend to go after Austria?,other
193,Where did Julian Fontana fail to get established?,other
194,Where did Chopin prefer to play for people?,other
195,In 1835 where did Chopin and his parents visit?,other
196,What was James Broadwood's occupation?,title
197,Where did the group travel to after Barcelona?,other
198,How many works did Chopin write in 1843?,count
199,Who did a work for Italian television about Chopin's life?,ind
200,"When was the fictionalized ""Chopin"" produced?",date
201,How much did Chopin's funeral and monument cost?,money
202,Who wrote a glowing review of Chopin's love for his country through his music in 1836?,ind
203,Where did Chopin grow up?,other
204,When did Chopin return to Warsaw?,date
205,When did Chopin propose marriage to Maria Wodziński?,date
206,Where did Liszt and Chopin last perform together?,other
207,Where was Sand's home?,other
208,What novel did Sand write in 1847?,cremat
209,How many works did Chopin write in 1845?,count
210,"Where was the fictionalized ""Chopin"" produced?",other
211,When did Jenny Lind visit Chopin?,date
212,How many Chopin polonaises were published after his death?,count
213,Where did Chopin create most of his works?,other
214,Where did Chopin spend his vacation in 1824 and 1825?,other
215,Who was the fortune hunter engaged to Sand's daughter?,ind
216,How old was Chopin when his family moved to Warsaw?,period
217,How many times did Chopin and Liszy perform together in public?,count
218,In 1842 where did Chopin and Sand move?,other
219,When did Chopin die?,date
220,How many boarders of his family's boarding house became intimate friends with Chopin?,count
221,Where did Chopin make his debut after completing his education?,other
222,Where were Chopin and Fontana students together?,other
223,Where did Chopin and Hiller go with the person Chopin met in the spring of 1834?,other
224,When did Chopin and Sand become lovers?,date
225,How many public performances did Chopin do where he made his debut after completing his education?,count
226,Where did Chopin and Sand go between November 1838 and February 1839?,other
227,When did Chopin end his relationship with Sand?,date
228,How many weeks after completing school was it before Chopin made his public debut?,count
229,Where did they travel after leaving Barcelona?,other
230,Where did Chopin live with his family in Warsaw?,other
231,Where did Chopin and Sand move to in 1842?,other
232,Where did Chopin and Sand stay in Valldemossa?,other
233,How old was Chopin when he left Poland?,period
234,How many states were ruled by myriarchies?,count
235,When did Kublai Khan conquer the song dynasty?  ,date
236,How many princes of Dharma were assigned by the Ming court?,count
237,Who wrote the book The Story of Tibet?,ind
238,Where is the China Tibetology Research Center located?,other
239,Why does Van Praag believe the Ming court set up a diplomatic delegation with Tibet?,reason
240,When did the Hongwu Emperor use military force in Tibet?,date
241,When were the Rinbung princes overthrown?,date
242,Who was the leader of the Sakya school of Tibetan Buddhism?,ind
243,Who was the Director of the History Studies Institute?,ind
244,When did the Ming court send a second request to Tsongkhapa?,date
245,Where did the Yongle Emperor send Yang Sanbao?,other
246,Why did the Yongle Emperor send Hou Xian and Zhi Guang to Tibet?,reason
247,Where did the Yongle Emperor greet the Karmapa?,other
248,Where was the Linggu Temple located?,other
249,Who was the leader of the Tümed Mongols?,ind
250,When was the Marquis Mu Ying commissioned to quell?,date
251,When did the Ming hold the divide and rule policy?,date
252,When did the the prince of Rinbung occupy Lhasa?,date
253,What establishment did the politics at court shift in favor of? ,gr
254,Who was the regent of the Mongol Empire?,ind
255,How many households were the offices of Qianhu in charge of?,count
256,Who was the founder of the Gelug school?,ind
257,When did Yongle Emperor send Yang Sanbao into Tibet?,date
258,Who was Yongle Emperor's father?,ind
259,When did Hou Xian and Zhi Guang return to Nanjing?,date
260,When did  Deshin Shekpa  die?,date
261,where did the trade route pass through?,other
262,How many Tibetan prisoners did Mu Ying capture?,count
263,Where were the Mongols trying to raise? ,other
264,Where does P. Christiaan Klieger work?,other
265,When did the Kangxi Emperor occupy Lhasa?,date
266,How many Qianhu offices were there?,count
267,Who wrote the book Khubilai Khan?,ind
268,How many households were the offices of Wanhu in charge of?,count
269,When was Chosrje Shākya Yeshes sent to Nanjing?,date
270,When did the Yongle Emperor invite Deshin Shekpa to his court?,date
271,Where did Hou Xian and Zhi Guang travel through on their way to the Karmapa?,other
272,How many animals did Mu Ying capture?,count
273,When did Altan Khan make peace with the Ming dynasty?,date
274,When did the 5th Dalai Lama gain political control over Tibet?,date
275,Where did Güshi Khan resettle his tribe?,other
276,When was The Qing dynasty garrison established in Tibet?,date
277,Where did Khubilai seek support as Emperor?,other
278,where was the É-Lì-Sī Army-Civilian Marshal Office established?,other
279,When did the yuan dynasty start and end?,date
280,Where were the envoys sent?,other
281,Who wrote the letter declining the Emperor's invitation?,ind
282,Who convinced the Yongle emperor not to send military forces into Tibet?,ind
283,Why did the Mongol princes ask for titles?,reason
284,Where did Sonam Gyatso die?,other
285,When did the  Ü-Tsang forces surrender?,date
286,Which company produces the iPod?,gr
287,Which company worked with Apple in creating the user interface for the iPod?,gr
288,What company was first to create a means of connecting the iPod to an automobile?,gr
289,What companies have developed iPod interfacing for their stereo systems?,gr
290,How many hosts are recognized by an iPod the first time they're used?,count
