,texts,labels
0,What town did Beyonce go to school in?,city
1,Who decided to place Beyonce's group in Star Search the talent show?,ind
2,Destiny's Child's final album was named what?,cremat
3,How many albums did Beyonce sell in the first week when she released her second album?,count
4,"Beyonce portrayed which character in the film, Cadillac Records?",ind
5,How many awards was Beyonce nominated for at the 52nd Grammy Awards?,count
6,Beyonce would take a break from music in which year?,date
7,In which year was reports about Beyonce performing for Muammar Gaddafi surface?,date
8,Beyonce's fourth album debuted in what year?,date
9,"How many dates did Beyonce's ""The Mrs. Carter Show"" entail?",count
10,How many awards did Beyonce take home with her at the 57th Grammy Awards?,count
11,"As of April 2014, how many albums have Jay Z and Beyonce sold together?",count
12,Beyonce and Jay-Z went to a rally for the acquittal of whom?,ind
13,Beyonce signed a letter with who in 2015?,ind
14,"in September 2010, what career area did Beyonce start exploring?",other
15,Which racial community gave criticism to Beyonce?,gr
16,"VH1 declared what song the ""Greatest song of the 2000s?""",cremat
17,How many copies of her albums as Beyonce sold in the US?,count
18,How many Grammys has Beyonce won total with and without Destiny's Child?,count
19,Which soda company has Beyonce partnered with since 2002?,gr
20,"When was it discovered Beyonce was a co-owner of the music service, Tidal?",date
21,Who did Beyonce participate with in the Hope for Haiti Now: A Global Benefit?,ind
22,What areas did Beyonce compete in when she was growing up?,other
23,Which artist did Beyonce marry?,ind
24,Who was the first person to notice Beyonce's singing ability?,ind
25,"In 1995, who decided to manage the girls singing group?",ind
26,What event occured after she was publicly criticized?,event
27,"How many weeks did their single ""Independent Women Part I"" stay on top?",count
28,"Which three countries did Beyonce's song ""Work It Out"" achieve top ten status?",country
29,Destiny's Child got a star on the Hollywood Walk of Fame in what year?,date
30,Her second movie Beyonce did was what film?,cremat
31,Beyonce gave her entire salary from Cadillac Records to which organization?,gr
32,Which year did Beyonce and her father part business ways?,date
33,Who did Beyonce donate the money to earned from her shows?,ind
34,Which artist beat Beyonce out for Album of the year?,ind
35,Which song by Jay Z talked about the pregnancy struggles?,cremat
36,Beyonce sang which song during the 2009 presidential inauguration?,cremat
37,"Which singer did Beyonce honor by entertaining with her song ""Deja Vu""?",ind
38,Which month and year did Beyonce credit Madonna for inspiring her to take control of her career?,date
39,"Which music journalist described Beyonce as a ""crossover sex symbol?""",ind
40,Beyonce's first modelling event was at where?,other
41,Which African-American woman before Beyonce had posed for SI Swimsuit issue?,ind
42,Which professor from Northeastern University wrote about how race correlates with these criticisms of Beyonce?,ind
43,"How many Grammy awards did ""Crazy in Love"" win?",count
44,"Totaling worldwide, how many records as Beyonce sold?",count
45,Who is the only other woman with more Grammy awards than Beyonce?,ind
46,Pepsi paid Beyonce how much in 2012 for her endorsement?,money
