,texts,labels
0,How do you make panoramic sugar eggs for Easter - the ones with the scene inside ?,DESC
1,What is the difference between ninjitsu and kung fu ?,DESC
2,Where did the saying `` rule of thumb '' come from ?,DESC
3,What kind of greeting is appropriate to send on Yom Kippur ?,DESC
4,What is leukemia ?,DESC
5,How does a hydroelectric dam work ?,DESC
6,What is God ?,DESC
7,What is the main application of sodium hydrosulfite ?,DESC
8,What are manifest and latent function theories ?,DESC
9,What happens when a body part falls asleep ?,DESC
10,What effect does friction have on perpetual motion ?,DESC
11,What is a cake of soap ?,DESC
12,What is Archimedes famous for ?,DESC
13,What causes the redness in your cheeks when you blush ?,DESC
14,What 's the state motto of California ?,DESC
15,What are the Valdez Principles ?,DESC
16,How can you tell when figs are ripe ?,DESC
17,What are pomegranates ?,DESC
18,Why do many Native American students not complete college ?,DESC
19,What is `` the computer for the rest of us '' ?,DESC
20,Why do rooftops give off steam after a big rainstorm ?,DESC
21,Why are ice cream sundaes called sundaes ?,DESC
22,What is the origin of the word assassinate ?,DESC
23,What is hypertext ?,DESC
24,What are snowballs to a hot-rodder ?,DESC
25,What currents affect the area of the Shetland Islands and Orkney Islands in the North Sea ?,DESC
26,What makes a tornado turn ?,DESC
27,How do I contact answers.com ?,DESC
28,What is the difference between the anus and the rectum ?,DESC
29,What is object-oriented design ?,DESC
30,What does the term 3 mean to a newspaper editor ?,DESC
31,What do economists do ?,DESC
32,How do you write MLA style bibliographies for an Internet source ?,DESC
33,What does it mean `` Rupee Depreciates '' ?,DESC
34,What 's the distinction of U.S. Supreme Court Justice Thurgood Marshall ?,DESC
35,What is a transistor ?,DESC
36,What are faults in the earth 's crust ?,DESC
37,How is an executioner determined ?,DESC
38,What does the word affiant mean ?,DESC
39,How do I tie a tie ?,DESC
40,How can I transport files from one computer to another ?,DESC
41,What are the cookies in Internet ?,DESC
42,Why doesn 't www.answers.com have any answers to my questions ?,DESC
43,How do clouds form ?,DESC
44,"Why was Washington , DC originally called District of Columbia ?",DESC
45,What is the secret of the universe ?,DESC
46,Why is the word `` abbreviation '' so long ?,DESC
47,What does laser stand for ?,DESC
48,What do you say to a friend who ignores you for other friends ?,DESC
49,What is the origin of `` Beauty is in the eye of the beholder '' ?,DESC
50,What is the origin of the word `` pallbearer ? '',DESC
51,What are the lyrics to the Star Spangled Banner ?,DESC
52,How did people respond to the idea of the first millenium ?,DESC
53,What was an `` Asiento '' ?,DESC
54,What are Christopher Marlowe 's and Shakespeare 's literary contributions to English literature ?,DESC
55,What did Richard Feynman say upon hearing he would receive the Nobel Prize in Physics ?,DESC
56,How do you get a pointsettia to turn red ?,DESC
57,Why do oceans contain salt water instead of fresh water ?,DESC
