,texts,labels
0,What are perfect tenses ?,DESC
1,What is a drought ?,DESC
2,How does a scientific calculator work ?,DESC
3,What is the text of the Fifth Amendment ?,DESC
4,What does Tiffany mean ?,DESC
5,What is Smartnet ?,DESC
6,"What makes Black Hills , South Dakota a tourist attraction ?",DESC
7,What is the filmmakers collabrative ?,DESC
8,How is it correct to say ` qigong ' ?,DESC
9,Why do pressure cookers save time in the kitchen ?,DESC
10,What is ethology ?,DESC
11,What are the words to `` My Way '' written by Paul Anka ?,DESC
12,What personality traits are Capricorns said to have ?,DESC
13,What is so powerful about Power Bars ?,DESC
14,What 's the last line of Dickens 's A Christmas Carol ?,DESC
15,Why should cigarette smoking be banned ?,DESC
16,What is a gandy dancer ?,DESC
17,What are some chemical properties of mendelevium ?,DESC
18,What does idle mean ?,DESC
19,What is the Kashmir issue ?,DESC
20,What have you not let a tennis ball do if you volley ?,DESC
21,What are some children 's rights ?,DESC
22,What 's the meaning of UOL ?,DESC
23,What was the outcome of the 1945 Yalta Conference ?,DESC
24,How is saline used in medicine ?,DESC
25,What is the weather like on the moon ?,DESC
26,What function does a community 's water tower serve ?,DESC
27,What happened during the Blackhawk Indian war of 1832 ?,DESC
28,What is the origin of a.m. and p.m. ?,DESC
29,How do you get bubblegum out of carpet ?,DESC
30,What is a pyrotechnic display ?,DESC
31,What is a turnkey contract ?,DESC
32,What makes you fat ?,DESC
33,"What is the 401 , K , plan ?",DESC
34,How do you tell somebody you like them ?,DESC
35,What was the `` Dead Man 's Hand '' ?,DESC
36,What is The Gay Science ?,DESC
37,What are amaretto biscuits ?,DESC
38,How does the speed the magnet spins in a generator affect the output of the generator ?,DESC
39,Why was Curious George curious ?,DESC
40,How can I find online spelling ?,DESC
41,What is a gas release event ?,DESC
42,How can I determine the radius of an ellipse ?,DESC
43,How do I tie dye clothes ?,DESC
44,What must a Las Vegas blackjack dealer do when he reaches 16 ?,DESC
45,What are binomial coefficients ?,DESC
46,What is `` alternative '' anymore ?,DESC
47,What is the difference between New York-style and Chicago-style pizza ?,DESC
48,Why do people in the upper peninsula of Michagin say `` eh ? '' ?,DESC
49,How can I find out my Moon sign ?,DESC
50,What is the Home Rule Act ?,DESC
51,What is hyperopia ?,DESC
52,What does Robert mean ?,DESC
53,How do I find out what cities are in a certain area code ?,DESC
54,What is Remembrance Day all about ?,DESC
55,What is the difference between hair and fur ?,DESC
56,What is Java ?,DESC
57,How does Zatanna perform her magic in DC comics ?,DESC
58,What is thermal equilibrium ?,DESC
59,What is a virtual IP address ?,DESC
60,What is the origin of gametophytic tissue ?,DESC
61,What are Christopher Marlowe 's and Shakespeare 's literary contributions to English literature ?,DESC
62,What are the Poconos ?,DESC
63,Why is Microsoft 's Windows 3 such a successful computer program ?,DESC
64,What does palindromic mean ?,DESC
65,How do you make panoramic sugar eggs for Easter - the ones with the scene inside ?,DESC
66,What is the English meaning of caliente ?,DESC
67,Why can 't ostriches fly ?,DESC
68,What is the difference between ninjitsu and kung fu ?,DESC
69,What are amicable numbers ?,DESC
70,Why is Chicago named Chicago ?,DESC
71,What are boxcars ?,DESC
72,What is InterLata Internet service ?,DESC
73,How is Abigail Arcane related to the villainous opponent of the Swamp Thing ?,DESC
74,What is the origin of head lice ?,DESC
75,How can you become an FBI agent ?,DESC
76,What is the origin of the atom ?,DESC
77,What is a horologist ?,DESC
78,How do you pronounce `` Tzimisce '' ?,DESC
79,How can scientists predict weather by observing clouds ?,DESC
80,What happened to Phillip Taylor Kramer ?,DESC
81,What does the name Gina mean ?,DESC
82,How did Socrates die ?,DESC
83,What is the main application of sodium hydrosulfite ?,DESC
84,What is Margaret Thatcher known for ?,DESC
85,How do vending machines tell if your dollar is a 1 or a 5 ?,DESC
86,What is the C programming language ?,DESC
87,How do plants make food ?,DESC
88,What is the Socratic method ?,DESC
89,Why is Microsoft 's Windows 3 software so successful ?,DESC
90,What does the name `` Sheri '' mean ?,DESC
91,What is recruitment interview technique ?,DESC
92,How can I get some free technical information on Electric Vehicle ?,DESC
93,Why are there olives in martinis ?,DESC
94,What is form drag ?,DESC
95,What are chloroplasts ?,DESC
96,What are dingoes ?,DESC
97,What was an `` Asiento '' ?,DESC
98,What are Bellworts ?,DESC
99,How do Ouija Boards work ?,DESC
100,What are differences between 1980 and 1990 ?,DESC
101,What is a green bog ?,DESC
102,What does the name Calder mean ?,DESC
103,What does Lloyd 's Lutine Bell announce ?,DESC
104,What is the definition of ` graphic details ' ?,DESC
105,What 's the claim to fame of night watchman Frank Wills ?,DESC
106,Describe the Finnish music personality Salonen 's appearance .,DESC
107,What causes asthma ?,DESC
108,What is a handheld PC ?,DESC
109,How effective are condoms in protecting against AIDS ?,DESC
110,How was the ACLU formed ?,DESC
111,What is Olestra ?,DESC
112,How does a chick breathe inside an egg ?,DESC
113,What is yohimbine ?,DESC
114,What does Aaron mean ?,DESC
115,How do I find a snowboarding website ?,DESC
116,How do you send a movie transcript to Hollywood so that it can be produced into a film ?,DESC
117,Where does the expression `` cloud nine '' come from ?,DESC
118,What does N est-ce pas mean ?,DESC
119,What is `` flintknapping '' ?,DESC
120,What is the history of skateboarding ?,DESC
121,How does a small businessman contact the Good Humor Ice Cream company to do business with them ?,DESC
122,What is the function of RAM ?,DESC
123,What is the difference between pop music and rock and roll ?,DESC
124,Why did the chicken cross the road ?,DESC
125,What did n't Rocky Marciano do in his pro boxing career ?,DESC
126,What is dextropropoxyphen napsylate ?,DESC
127,How does psorisis disappear ?,DESC
128,What is habeas corpus ?,DESC
129,What is cache memory ?,DESC
130,How can someone become a federal agent ?,DESC
131,Where did marijuana come from ?,DESC
132,What does an emperor do ?,DESC
133,What are Cushman and Wakefield known for ?,DESC
134,What is the difference between molecules and compounds ?,DESC
135,How can I get a comic character I made copyrighted and published ?,DESC
136,What is a caldera ?,DESC
137,What does `` extended definition '' mean and how would one write a paper on it ?,DESC
138,What is a storm surge ?,DESC
139,How do you fix squeaky floors ?,DESC
140,What is proposition 98 about ?,DESC
141,What ever happened to the once popular Yale Lock Company ?,DESC
142,What are the benefits of home school ?,DESC
143,How do doctors diagnose bone cancer ?,DESC
144,How do I keep cats out of my flower garden for good ?,DESC
145,What is the difference between microprocessors & microcontrollers ?,DESC
146,Why was the L.A. office of Shea and Gould closed ?,DESC
147,What is a portal ?,DESC
148,How do you select wine ?,DESC
149,What is the meaning of thalassemia ?,DESC
150,What causes tuberculosis ?,DESC
151,Define cosmology .,DESC
152,Where did the saying `` rule of thumb '' come from ?,DESC
153,What is it like to experience a near death episode ?,DESC
154,How do companies cut paper so thin ?,DESC
155,How do I give a good massage ?,DESC
156,Why are peanut butter cookies topped with crisscrosses ?,DESC
157,Why are ice cream sundaes called sundaes ?,DESC
158,Give a reason for American Indians oftentimes dropping out of school .,DESC
159,How do you find out what is allowed to claim as a contibution for income tax purposes ?,DESC
160,What function does homeostasis have on the existence of an organism ?,DESC
161,What do you do when your mouse is n't working as fast as it 's supposed to ?,DESC
162,What is an isthmus ?,DESC
163,What is crabgrass ?,DESC
164,What is hypnotherapy ?,DESC
165,"What are vermicilli , rigati , zitoni , and tubetti ?",DESC
166,What is the origin of infinity ?,DESC
167,How was the Kennedy money made ?,DESC
168,What is the origin of the word `` tampon '' ?,DESC
169,How did the jack-o '-lantern get it 's name ?,DESC
170,What good are mosquitoes ?,DESC
171,What are the cookies in Internet ?,DESC
172,"What do the names Neil , Mary , and Anthony mean ?",DESC
173,What is a Guild ?,DESC
174,How does it make its colors ?,DESC
175,What made the Finger Lakes in western New York state ?,DESC
176,How do they raise the cranes when building high-rise buildings ?,DESC
177,What characteristics contribute to its `` intelligence '' ?,DESC
178,Where does `` bovine '' come from ?,DESC
179,What is the origin of the term `` buffalo wings '' that is used as a menu item in bars across the nation for chicken wings in a spicey sauce ?,DESC
180,What is difference between a poster and a print ?,DESC
181,What is being done about the millennium bug ?,DESC
182,What is a leper ?,DESC
183,What is color ?,DESC
184,What does the name Melissa mean ?,DESC
185,Why do roosters sing at five o 'clock in the morning ?,DESC
186,"How can I find online spelling , and punctuation drills for my 6th grader ?",DESC
187,How is water treated to make it safe to drink ?,DESC
188,What are liver enzymes ?,DESC
